"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","27-Mar-2026","37,579.14","34,012.99","3,566.15"
"FII/FPI","27-Mar-2026","20,486.39","24,853.69","-4,367.30"
