"Security Name","Symbol Name","Trade Date","Quantity"
"VINATI ORGANICS LTD","VINATIORGA","19-Mar-2026","2"
"WELSPUN CORP LIMITED","WELCORP","19-Mar-2026","306"
"ZF COM VE CTR SYS IND LTD","ZFCVINDIA","19-Mar-2026","4"
"BANDHAN BANK LIMITED","BANDHANBNK","19-Mar-2026","3600"
"RELIANCE INDUSTRIES LTD","RELIANCE","19-Mar-2026","199"
"TRANS & RECTI. LTD","TARIL","19-Mar-2026","50"
"CHOLAMANDALAM IN & FIN CO","CHOLAFIN","19-Mar-2026","625"
"TORRENT POWER LTD","TORNTPOWER","19-Mar-2026","850"
"FIVE-STAR BUS FIN LTD","FIVESTAR","19-Mar-2026","2"
"BHARTI AIRTEL LIMITED","BHARTIARTL","19-Mar-2026","3"
"ICICI BANK LTD.","ICICIBANK","19-Mar-2026","4"
"HDFC BANK LTD","HDFCBANK","19-Mar-2026","124"
"ADANI TOTAL GAS LIMITED","ATGL","19-Mar-2026","1939"
"ADITYA BIRLA REAL EST LTD","ABREL","19-Mar-2026","1436"
"AEGIS LOGISTICS LIMITED","AEGISLOG","19-Mar-2026","344"
"AUTHUM INVEST & INFRA LTD","AIIL","19-Mar-2026","235"
"ANTHEM BIOSCIENCES LTD","ANTHEM","19-Mar-2026","76"
"AUROBINDO PHARMA LTD","AUROPHARMA","19-Mar-2026","4400"
"BOROSIL RENEWABLES LTD","BORORENEW","19-Mar-2026","1869"
"CAN FIN HOMES LTD        ","CANFINHOME","19-Mar-2026","95"
"CEMINDIA PROJECTS LIMITED","CEMPRO","19-Mar-2026","411"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","19-Mar-2026","929"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","19-Mar-2026","56"
"ADITYA INFOTECH LIMITED","CPPLUS","19-Mar-2026","147"
"DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED","DEEPAKFERT","19-Mar-2026","540"
"DEEPAK NITRITE LIMITED","DEEPAKNTR","19-Mar-2026","251"
"DODLA DAIRY LIMITED","DODLA","19-Mar-2026","7"
"ENGINEERS INDIA LTD","ENGINERSIN","19-Mar-2026","818"
"GALLANTT ISPAT LIMITED","GALLANTT","19-Mar-2026","28"
"GRANULES INDIA LIMITED   ","GRANULES","19-Mar-2026","177"
"HEG LIMITED","HEG","19-Mar-2026","384"
"INOX GREEN ENERGY SER LTD","INOXGREEN","19-Mar-2026","783"
"IRB INFRA DEV LTD.","IRB","19-Mar-2026","1060"
"JUPITER LIFE LINE HOSP L","JLHL","19-Mar-2026","1"
"KIRLOSENG","KIRLOSENG","19-Mar-2026","33"
"KPRMILL","KPRMILL","19-Mar-2026","770"
"MEDPLUS HEALTH SERV LTD","MEDPLUS","19-Mar-2026","40"
"MEESHO LIMITED","MEESHO","19-Mar-2026","8040"
"NTPC GREEN ENERGY LIMITED","NTPCGREEN","19-Mar-2026","4617"
"NUVOCO VISTAS CORP LTD","NUVOCO","19-Mar-2026","177"
"PCBL LIMITED","PCBL","19-Mar-2026","220"
"PRUDENT CORP ADV SER LTD","PRUDENT","19-Mar-2026","28"
"QUALITY POWER ELEC EQUP L","QPOWER","19-Mar-2026","18"
"STARCEMENT","STARCEMENT","19-Mar-2026","23"
"SUDARSHAN CHEMICAL INDS L","SUDARSCHEM","19-Mar-2026","57"
"TATA TELESERV(MAHARASTRA)","TTML","19-Mar-2026","8657"
"VOLTAMP TRANSFORMERS LTD","VOLTAMP","19-Mar-2026","31"
"WELSPUN LIVING LIMITED","WELSPUNLIV","19-Mar-2026","4378"
"YATHARTH HOSP & TRA C S L","YATHARTH","19-Mar-2026","38"
"ZENSAR TECHNOLOGIES  LTD ","ZENSARTECH","19-Mar-2026","839"
"KPIT TECHNOLOGIES LTD","KPITTECH","19-Mar-2026","5"
"BHARAT PETROLEUM CORP  LT","BPCL","19-Mar-2026","2075"
"TARC LIMITED","TARC","19-Mar-2026","300"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","19-Mar-2026","300"
"ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED","ICICIGI","19-Mar-2026","975"
"INDIAN OIL CORP LTD","IOC","19-Mar-2026","4876"
"SAMVRDHNA MTHRSN INT","MOTHERSON","19-Mar-2026","1"
"HINDUSTAN OIL EXPLORATION","HINDOILEXP","19-Mar-2026","100"
"SEPC LIMITED","SEPC","19-Mar-2026","10000"
"CANARA BANK","CANBK","19-Mar-2026","400"
"LODHA","LODHA","19-Mar-2026","30"
"ANGEL ONE LTD","ANGELONE","19-Mar-2026","1200"
"BRITANNIA INDUSTRIES LIMITED","BRITANNIA","19-Mar-2026","1"
"3M INDIA LIMITED","3MINDIA","19-Mar-2026","6"
"ADIT BIRL SUN LIF AMC LTD","ABSLAMC","19-Mar-2026","701"
"ANUPAM RASAYAN INDIA LTD","ANURAS","19-Mar-2026","46"
"ARVIND LIMITED","ARVIND","19-Mar-2026","1015"
"ASTRAZENECA PHARMA IND LT","ASTRAZEN","19-Mar-2026","38"
"AVALON TECHNOLOGIES LTD","AVALON","19-Mar-2026","355"
"CAMPUS ACTIVEWEAR LIMITED","CAMPUS","19-Mar-2026","44"
"CCL PRODUCTS (I) LTD     ","CCL","19-Mar-2026","402"
"CIE AUTOMOTIV","CIEINDIA","19-Mar-2026","55"
"CREDITACCESS GRAMEEN LTD","CREDITACC","19-Mar-2026","139"
"DEVYANI INTERNATIONAL LTD","DEVYANI","19-Mar-2026","7"
"DYNAMATIC TECHNOLOGIES","DYNAMATECH","19-Mar-2026","3"
