"Security Name","Symbol Name","Trade Date","Quantity"
"GARDEN REACH SHIP&ENG LTD","GRSE","19-Mar-2026","642"
"HAPPIEST MINDS TECHNO LTD","HAPPSTMNDS","19-Mar-2026","2232"
"HONEYWELL AUTOMATION IND","HONAUT","19-Mar-2026","6"
"THE INDIA CEMENTS LIMITED","INDIACEM","19-Mar-2026","34"
"INDIAMART INTERMESH LTD","INDIAMART","19-Mar-2026","126"
"INDIA SHELTER FIN CORP L","INDIASHLTR","19-Mar-2026","140"
"LE TRAVENUES TECHNOLOGY L","IXIGO","19-Mar-2026","3430"
"JAIPRAKASH POWER VEN. LTD","JPPOWER","19-Mar-2026","14857"
"KAJARIA CERAMICS LTD     ","KAJARIACER","19-Mar-2026","36"
"LT FOODS LIMITED","LTFOODS","19-Mar-2026","324"
"MOTHERSON SUMI WRNG IND L","MSUMI","19-Mar-2026","10781"
"MTAR TECHNOLOGIES LIMITED","MTARTECH","19-Mar-2026","10"
"NIPPON L I A M LTD","NAM-INDIA","19-Mar-2026","232"
"NESCO LTD","NESCO","19-Mar-2026","11"
"ONESOURCE SPECL PHARMA L","ONESOURCE","19-Mar-2026","179"
"PC JEWELLER LTD          ","PCJEWELLER","19-Mar-2026","85905"
"PIRAMAL FINANCE LIMITED","PIRAMALFIN","19-Mar-2026","2258"
"SAREGAMA INDIA LIMITED","SAREGAMA","19-Mar-2026","138"
"SOBHA DEVELOPERS LTD","SOBHA","19-Mar-2026","46"
"SONATA SOFTWARE LIMITED","SONATSOFTW","19-Mar-2026","238"
"SYRMA SGS TECHNOLOGY LTD","SYRMA","19-Mar-2026","3451"
"TBO TEK LIMITED","TBOTEK","19-Mar-2026","27"
"TEGA INDUSTRIES LIMITED","TEGA","19-Mar-2026","6"
"TIPS MUSIC LIMITED","TIPSMUSIC","19-Mar-2026","56"
"V2 RETAIL LIMITED","V2RETAIL","19-Mar-2026","13"
"VISHAL MEGA MART LIMITED","VMM","19-Mar-2026","22937"
"TATA POWER CO LTD","TATAPOWER","19-Mar-2026","555"
"RBL BANK LIMITED    ","RBLBANK","19-Mar-2026","9525"
"ANAND RATHI WEALTH LTD","ANANDRATHI","19-Mar-2026","1"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","19-Mar-2026","1500"
"INDIAN BANK","INDIANB","19-Mar-2026","33"
"AVENUE SUPERMARTS LIMITED","DMART","19-Mar-2026","15"
"LIC HOUSING FINANCE LTD","LICHSGFIN","19-Mar-2026","9000"
"PATANJALI FOODS LIMITED","PATANJALI","19-Mar-2026","750"
"NTPC LTD","NTPC","19-Mar-2026","358"
